frame,class,score,boxes
80,"[0, 0, 0, 0, 0, 0, 0]","[0.4917178750038147, 0.52907794713974, 0.6494935750961304, 0.7467268109321594, 0.8639501333236694, 0.8686211705207825, 0.9105272889137268]","[[0.23900985717773438, 226.10611724853516, 36.30222702026367, 443.34104919433594], [188.83250427246094, 0.7613611221313477, 273.3018493652344, 114.40096950531006], [311.75992584228516, 0.5584917068481445, 375.8602523803711, 184.31453704833984], [687.1483154296875, 12.79002571105957, 791.8890380859375, 437.73836517333984], [552.7773742675781, 20.729244232177734, 656.1419677734375, 431.29155349731445], [409.30755615234375, 0.38645267486572266, 497.8988342285156, 245.86001586914062], [207.17626190185547, 211.02163124084473, 411.6826171875, 707.6722412109375]]"
81,"[0, 0, 0, 0, 0, 0, 0]","[0.25811538100242615, 0.36031001806259155, 0.37627294659614563, 0.5402233004570007, 0.7764902114868164, 0.8987529277801514, 0.9010179042816162]","[[0.2689790725708008, 210.07630920410156, 35.160258293151855, 449.83870697021484], [335.8653030395508, 0.4798622131347656, 426.74945068359375, 192.3064727783203], [172.0609130859375, 0.10283803939819336, 264.3439636230469, 91.07999038696289], [688.7854614257812, 14.334789276123047, 776.4015197753906, 435.31072998046875], [391.22401428222656, 0.22097110748291016, 540.4687042236328, 246.43844604492188], [268.83270263671875, 192.1080493927002, 443.3913116455078, 693.5833053588867], [521.7123413085938, 31.282899856567383, 650.5849914550781, 448.30096435546875]]"
82,"[0, 0, 0, 0]","[0.3121775686740875, 0.6291223764419556, 0.8924292325973511, 0.8990350961685181]","[[0.3096628189086914, 255.40018272399902, 33.749027252197266, 452.66356658935547], [380.1048889160156, 0.6050548553466797, 499.2421875, 246.70704460144043], [295.5098190307617, 191.3683090209961, 509.8740234375, 689.0173873901367], [503.63722229003906, 26.658496856689453, 642.5321502685547, 453.9430961608887]]"
83,"[0, 0, 0, 0]","[0.251446396112442, 0.6306798458099365, 0.8920329213142395, 0.8983703851699829]","[[0.3004946708679199, 255.3456974029541, 33.781494140625, 452.6704330444336], [380.4328079223633, 0.5987033843994141, 499.26841735839844, 246.70515632629395], [295.25772857666016, 191.4312744140625, 509.94415283203125, 689.03173828125], [503.6503601074219, 26.640335083007812, 642.5418090820312, 453.93217849731445]]"
84,"[0, 0, 0]","[0.2970336377620697, 0.8786625862121582, 0.9205873608589172]","[[0.13299894332885742, 430.73341369628906, 24.52895736694336, 660.8233795166016], [479.42051696777344, 23.267807006835938, 630.8437042236328, 463.3912010192871], [329.30296325683594, 182.39845275878906, 529.9028778076172, 662.4757232666016]]"
85,"[0, 0, 0, 0, 0, 0, 0]","[0.2819604277610779, 0.3262004852294922, 0.35235199332237244, 0.3619304299354553, 0.42997193336486816, 0.5430300831794739, 0.936759889125824]","[[181.60352325439453, 28.815495014190674, 271.51700592041016, 125.29333877563477], [554.7901153564453, 1.4220600128173828, 634.3639068603516, 324.0396194458008], [483.56671142578125, 41.69535541534424, 591.5967407226562, 305.6712341308594], [403.58399963378906, 0.30817508697509766, 532.6913909912109, 187.19989013671875], [747.5549468994141, 0.6468286514282227, 831.7738037109375, 132.24825954437256], [0.23047971725463867, 412.6889190673828, 43.86689758300781, 720.5239105224609], [359.5589904785156, 171.70357131958008, 565.7599182128906, 660.65185546875]]"
86,"[0, 0, 0, 0]","[0.4087928533554077, 0.4405325651168823, 0.5042588114738464, 0.9179310202598572]","[[0.45165395736694336, 461.1931457519531, 44.26595878601074, 716.0045471191406], [564.1148529052734, 51.56664848327637, 656.1674652099609, 511.9977035522461], [191.6773910522461, 27.035757064819336, 270.87471771240234, 123.47942733764648], [383.73573303222656, 175.5168571472168, 575.6819000244141, 651.3250122070312]]"
87,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.27537527680397034, 0.2821462154388428, 0.29877403378486633, 0.3727601170539856, 0.523103654384613, 0.5674191117286682, 0.7444109320640564, 0.7537720203399658, 0.9218713045120239]","[[512.4596557617188, 0.23559236526489258, 549.2341003417969, 48.754963874816895], [693.9842376708984, -0.5320000648498535, 751.7650909423828, 130.71399307250977], [720.8543243408203, -1.6438465118408203, 794.7860412597656, 155.98809242248535], [317.6073303222656, 1.5976181030273438, 386.22344970703125, 196.38775634765625], [192.88609313964844, 27.257633686065674, 267.2009582519531, 124.47514915466309], [0.9473190307617188, 378.00528717041016, 109.24232482910156, 718.2368316650391], [431.6192321777344, 47.02284049987793, 559.6429138183594, 246.15879249572754], [559.5821228027344, 32.11571502685547, 650.0928039550781, 506.5667839050293], [392.2606201171875, 163.7534523010254, 590.507080078125, 625.7412872314453]]"
88,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.2600614130496979, 0.2933554947376251, 0.30647262930870056, 0.35500141978263855, 0.3760990500450134, 0.6729981303215027, 0.8013597130775452, 0.9080674052238464]","[[694.6688690185547, -0.023517608642578125, 751.4517059326172, 129.693603515625], [411.0619812011719, 0.2739286422729492, 546.8650817871094, 158.8191146850586], [734.1602325439453, 1.4357843399047852, 819.1122436523438, 131.3181037902832], [310.53353118896484, 2.4988489151000977, 358.9272994995117, 195.43496704101562], [406.3520050048828, 61.50747299194336, 525.0087432861328, 340.54259490966797], [0.3340473175048828, 142.50872611999512, 97.32483673095703, 708.0815505981445], [543.1966552734375, 11.574748992919922, 649.7143249511719, 508.0088081359863], [416.88880920410156, 162.45639610290527, 623.5247955322266, 622.1718978881836]]"
89,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.2653164863586426, 0.29870539903640747, 0.3012215197086334, 0.35988056659698486, 0.3745878338813782, 0.6758177876472473, 0.8039602041244507, 0.9079187512397766]","[[694.6897430419922, -0.04349040985107422, 751.4975738525391, 129.7298755645752], [411.0588684082031, 0.27906131744384766, 546.8146362304688, 159.1900405883789], [734.1367950439453, 1.4414148330688477, 819.3392944335938, 131.3132028579712], [310.50645446777344, 2.440810203552246, 358.86680603027344, 195.48653411865234], [406.40830993652344, 61.446078300476074, 524.3016815185547, 340.6273956298828], [0.33292579650878906, 142.49578285217285, 97.3904800415039, 707.8612747192383], [543.1848449707031, 10.410009384155273, 649.7750244140625, 507.9551467895508], [416.87457275390625, 162.38994598388672, 623.53857421875, 622.166130065918]]"
90,"[0, 0, 0, 0, 0, 0, 0]","[0.25574785470962524, 0.2715780436992645, 0.3783901631832123, 0.5097264051437378, 0.8439986705780029, 0.8822686076164246, 0.9248667359352112]","[[565.4792175292969, 0.7340497970581055, 641.4062805175781, 273.9195785522461], [0.044094085693359375, 187.81227493286133, 57.26481628417969, 274.67193603515625], [193.85906982421875, 27.16521978378296, 275.4143829345703, 124.09855842590332], [500.2272033691406, 79.68007850646973, 615.9916076660156, 263.7403163909912], [375.6631622314453, 56.02490043640137, 499.8328399658203, 517.0255279541016], [0.8144645690917969, 184.38047218322754, 193.19732666015625, 719.056755065918], [460.0265350341797, 159.93589210510254, 639.4362030029297, 614.4084777832031]]"
91,"[0, 0, 0, 0, 0, 0, 0]","[0.30455291271209717, 0.30564406514167786, 0.5040316581726074, 0.645392894744873, 0.8168199062347412, 0.9137691855430603, 0.938194215297699]","[[456.3984832763672, 59.445064544677734, 547.0238800048828, 520.4769859313965], [695.1462707519531, 0.3514251708984375, 752.5262145996094, 110.18663120269775], [755.8740234375, 1.4099750518798828, 844.932861328125, 270.5606803894043], [530.0944061279297, 0.7150468826293945, 640.8607635498047, 240.67831420898438], [359.81748962402344, 55.603248596191406, 481.2637481689453, 517.4112510681152], [482.2528381347656, 146.5443992614746, 655.3961791992188, 596.2932586669922], [0.3949012756347656, 188.58827018737793, 211.3282928466797, 719.6883316040039]]"
92,"[0, 0, 0, 0, 0, 0]","[0.2947791814804077, 0.4230973720550537, 0.7367149591445923, 0.8011687994003296, 0.9040539860725403, 0.9068390130996704]","[[112.76099395751953, 121.32986640930176, 255.39676666259766, 441.10855865478516], [696.2411041259766, 0.054099082946777344, 755.1870574951172, 129.91224002838135], [348.38658142089844, 67.44086265563965, 456.05735778808594, 537.2775192260742], [414.6927795410156, 69.59780502319336, 535.1015625, 542.9339332580566], [497.16746520996094, 141.9067440032959, 661.9366607666016, 596.3398132324219], [21.910606384277344, 182.83527946472168, 237.3200912475586, 719.8415222167969]]"
93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2613922655582428, 0.3286731243133545, 0.33596864342689514, 0.34680527448654175, 0.4286823272705078, 0.5470101833343506, 0.7904847860336304, 0.7974820733070374, 0.8854595422744751, 0.9122600555419922]","[[0.13354969024658203, 320.79109954833984, 29.862536430358887, 404.52099609375], [195.84475708007812, 27.51450777053833, 272.62646484375, 124.34988784790039], [695.0153045654297, 0.09119510650634766, 773.1533203125, 131.1841220855713], [761.2538452148438, 2.697195053100586, 848.716552734375, 288.8568649291992], [525.1031341552734, 0.950566291809082, 637.7017364501953, 218.46732330322266], [165.353759765625, 108.92788124084473, 304.9525909423828, 417.67822265625], [0.7261619567871094, 371.6996154785156, 210.09164428710938, 719.0058059692383], [354.5419464111328, 79.68704795837402, 523.4831085205078, 579.1194305419922], [72.24372482299805, 177.04817962646484, 319.9640808105469, 716.6115417480469], [494.2606658935547, 142.7489833831787, 655.5348358154297, 593.023796081543]]"
94,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.34233957529067993, 0.4675341844558716, 0.47559359669685364, 0.5175594687461853, 0.562472939491272, 0.5980541706085205, 0.6631682515144348, 0.8800429105758667, 0.8830703496932983, 0.9359650015830994]","[[758.7472686767578, 1.9982242584228516, 848.7679138183594, 290.4042205810547], [473.98992919921875, -0.043473243713378906, 571.510986328125, 169.2623062133789], [196.34385681152344, 28.030770778656006, 270.43565368652344, 117.83415412902832], [289.96570587158203, 93.16905784606934, 411.45982360839844, 558.3841094970703], [533.0035858154297, 0.6680030822753906, 636.7276153564453, 215.076753616333], [0.23833465576171875, 318.4181213378906, 110.2221908569336, 562.6558685302734], [117.52132415771484, 170.16603469848633, 464.9380187988281, 698.9550018310547], [366.87437438964844, 94.24489402770996, 486.08253479003906, 583.2700653076172], [3.385608673095703, 387.8429260253906, 275.5013122558594, 718.7380828857422], [484.4169158935547, 137.93122100830078, 643.9027862548828, 575.1434097290039]]"
95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.34376877546310425, 0.46875372529029846, 0.47666919231414795, 0.5222509503364563, 0.5664759874343872, 0.5975631475448608, 0.66357421875, 0.8802329301834106, 0.8843420743942261, 0.9359643459320068]","[[758.681396484375, 2.002206802368164, 848.7581176757812, 290.40991973876953], [474.0124969482422, -0.04664039611816406, 571.4553680419922, 169.2637825012207], [196.3447036743164, 28.02854347229004, 270.43883514404297, 117.82265281677246], [293.32850646972656, 93.34674453735352, 411.8920440673828, 558.7970924377441], [533.1301116943359, 0.6746377944946289, 636.7792510986328, 215.13080978393555], [0.24786758422851562, 318.3963203430176, 110.22974395751953, 562.6828193664551], [117.54182052612305, 170.14878273010254, 464.93687438964844, 698.9616622924805], [366.86698150634766, 94.24837875366211, 486.0586395263672, 583.2655334472656], [3.1350975036621094, 387.8474578857422, 275.523193359375, 718.7347183227539], [484.4079895019531, 137.9406280517578, 643.9019165039062, 575.1415557861328]]"
96,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2605063021183014, 0.38244664669036865, 0.41692915558815, 0.4447533190250397, 0.5153567790985107, 0.6305026412010193, 0.7593500018119812, 0.7665234208106995, 0.8067882657051086, 0.8880099058151245, 0.8946713805198669, 0.9280596971511841]","[[747.9424896240234, 0.05731344223022461, 843.5753173828125, 131.90870475769043], [373.1212692260742, 0.0328216552734375, 479.237548828125, 178.60775756835938], [694.3114929199219, 0.24654865264892578, 752.3149108886719, 128.86857318878174], [196.62615966796875, 30.838562965393066, 272.2189636230469, 124.00861644744873], [549.0466918945312, -0.07953071594238281, 636.6546936035156, 208.0528163909912], [464.78004455566406, 0.06305980682373047, 543.2213287353516, 179.88594818115234], [154.12660217285156, 164.00218963623047, 349.02772521972656, 533.1867599487305], [55.24222755432129, 316.6793975830078, 192.81431579589844, 557.9966354370117], [279.9028015136719, 86.78399276733398, 480.80369567871094, 647.7977142333984], [104.20814895629883, 389.9388427734375, 339.34629821777344, 718.7891693115234], [0.29787254333496094, 434.27437591552734, 124.39482879638672, 718.9179153442383], [482.1083221435547, 123.5775318145752, 637.7727813720703, 563.1365203857422]]"
97,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2649299204349518, 0.2657870054244995, 0.36569416522979736, 0.4312836527824402, 0.5134831666946411, 0.5392135977745056, 0.6744174361228943, 0.6940847039222717, 0.8813446164131165, 0.9033307433128357, 0.9110238552093506, 0.9214398264884949]","[[694.2117462158203, 0.16421985626220703, 752.5997772216797, 128.27592945098877], [334.14385986328125, 0.42446279525756836, 416.5994110107422, 124.62387657165527], [552.0997924804688, -0.16545581817626953, 639.5335693359375, 206.8550148010254], [196.5574722290039, 30.175087451934814, 274.33431243896484, 124.36847877502441], [410.8986053466797, 0.521824836730957, 508.96495056152344, 242.53802490234375], [273.7913360595703, 89.96928977966309, 347.4353942871094, 235.85238075256348], [190.38515853881836, 161.59070777893066, 367.6589813232422, 505.7823944091797], [141.9690170288086, 329.4374084472656, 270.3199996948242, 554.8128662109375], [324.62889862060547, 97.59570693969727, 495.8404541015625, 659.6504516601562], [1.0778961181640625, 430.1970405578613, 204.97206115722656, 718.5841369628906], [189.70732498168945, 407.84765625, 427.215087890625, 719.7057723999023], [486.1285400390625, 118.38297271728516, 638.7302856445312, 562.3369903564453]]"
98,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2693057358264923, 0.37401074171066284, 0.4452052116394043, 0.5187426805496216, 0.6005082130432129, 0.7678747773170471, 0.7741956114768982, 0.8212792277336121, 0.9038922786712646, 0.9089045524597168, 0.9109076857566833]","[[195.59813690185547, 28.503414630889893, 265.4179916381836, 120.24015998840332], [373.8602600097656, -0.09608745574951172, 508.1750793457031, 131.70974922180176], [755.0358581542969, 0.7907924652099609, 848.5719909667969, 304.8035202026367], [320.84532165527344, 97.03520679473877, 395.5854949951172, 241.19329833984375], [192.26829528808594, 330.64432525634766, 351.7606201171875, 588.3351745605469], [212.56008911132812, 86.86075115203857, 310.3525085449219, 291.9332084655762], [219.5299072265625, 160.35637664794922, 421.5356140136719, 458.82950592041016], [251.82476806640625, 427.5956497192383, 485.3484649658203, 719.0863494873047], [365.8951950073242, 93.69609260559082, 526.9698944091797, 607.9029235839844], [496.153564453125, 114.03576850891113, 645.9349365234375, 556.6815032958984], [63.614559173583984, 463.3164939880371, 269.5714874267578, 719.6071014404297]]"
99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.27109768986701965, 0.31952062249183655, 0.42628970742225647, 0.4488036036491394, 0.4511483609676361, 0.4671177566051483, 0.7284806966781616, 0.837114691734314, 0.8411137461662292, 0.8583475947380066, 0.8996276259422302]","[[196.63819885253906, 29.688654899597168, 273.80694580078125, 123.65229892730713], [338.6772766113281, 0.9853019714355469, 410.67169189453125, 146.13714981079102], [769.5870666503906, 3.7069244384765625, 846.2516784667969, 318.3811798095703], [292.69862365722656, 104.21498680114746, 367.47706604003906, 239.41473197937012], [247.33428955078125, 349.1132011413574, 415.9530029296875, 608.0955276489258], [307.3139190673828, 440.74793243408203, 549.7779693603516, 719.4716262817383], [252.81761169433594, 155.6850414276123, 486.04234313964844, 466.49253845214844], [397.9185791015625, 96.46941947937012, 567.3590698242188, 598.766487121582], [178.42593383789062, 97.63386726379395, 300.23785400390625, 490.9822311401367], [505.64588928222656, 107.01389122009277, 647.9811859130859, 523.3217926025391], [114.69952011108398, 474.4053039550781, 324.30821228027344, 717.5765533447266]]"
100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3300715684890747, 0.3786742091178894, 0.3854086101055145, 0.47678306698799133, 0.5145043730735779, 0.5539055466651917, 0.6484134793281555, 0.8224308490753174, 0.8574241995811462, 0.8588301539421082, 0.8914592266082764, 0.9175466299057007]","[[307.7882766723633, 0.950566291809082, 380.28343963623047, 170.85326385498047], [694.0643005371094, 0.15711736679077148, 753.9888610839844, 126.70391464233398], [196.34999084472656, 32.11108875274658, 264.87657165527344, 125.75640392303467], [242.46112060546875, 105.97092819213867, 364.58203125, 529.171703338623], [765.2736053466797, 1.2425880432128906, 847.6065673828125, 326.5882759094238], [366.8128967285156, 479.35828399658203, 606.7002868652344, 718.5756912231445], [295.32371520996094, 366.04454040527344, 482.44569396972656, 652.4801559448242], [295.0290985107422, 154.0740852355957, 519.6134490966797, 495.32790756225586], [422.13890075683594, 84.58001518249512, 577.1905975341797, 529.1402893066406], [149.31671905517578, 106.06300735473633, 276.5939712524414, 536.1090202331543], [528.1134796142578, 107.11439895629883, 647.8322296142578, 525.6453666687012], [162.955810546875, 499.23241424560547, 385.24072265625, 719.1969680786133]]"
101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.33117467164993286, 0.37869250774383545, 0.3859994113445282, 0.4831346571445465, 0.5184478759765625, 0.5549700856208801, 0.6444106101989746, 0.8217241764068604, 0.8566945195198059, 0.8573204278945923, 0.8917528390884399, 0.9170588850975037]","[[307.79127502441406, 0.9491071701049805, 380.3323974609375, 170.9084014892578], [196.36846160888672, 32.114792346954346, 265.31371307373047, 125.76187133789062], [693.9650115966797, 0.12068653106689453, 753.9254608154297, 126.54076766967773], [242.1204071044922, 106.02704429626465, 364.4403076171875, 529.2800216674805], [765.2298431396484, 1.3103599548339844, 847.7196350097656, 326.5236625671387], [366.7964859008789, 479.3590393066406, 606.6918640136719, 718.5653228759766], [295.3391418457031, 366.0255889892578, 482.4298095703125, 652.4828338623047], [295.0523986816406, 154.06963920593262, 519.8241577148438, 495.28392791748047], [149.32205200195312, 106.03370475769043, 276.61949157714844, 536.0177993774414], [422.13954162597656, 84.61460494995117, 577.2082672119141, 529.1581077575684], [528.1180572509766, 107.11494827270508, 647.8371734619141, 525.6546363830566], [162.90826034545898, 499.226131439209, 385.20350646972656, 719.1952514648438]]"
102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3053414225578308, 0.355106920003891, 0.44210922718048096, 0.5107417106628418, 0.5885367393493652, 0.7897403240203857, 0.8077970743179321, 0.8726472854614258, 0.9247439503669739, 0.9284678101539612]","[[196.4183349609375, 29.960944175720215, 267.1701965332031, 122.92641162872314], [694.1627655029297, 0.2393345832824707, 754.2472686767578, 128.17738723754883], [342.3289260864258, 382.0704689025879, 529.2800903320312, 664.2379302978516], [756.6440277099609, 0.9178218841552734, 847.9074096679688, 327.3245315551758], [319.36283111572266, 153.68643951416016, 525.1119689941406, 491.45381927490234], [547.8646545410156, 102.79045486450195, 645.293701171875, 474.9418830871582], [119.19559478759766, 103.09874153137207, 257.78844451904297, 614.5001449584961], [432.90765380859375, 79.12650489807129, 604.9653625488281, 529.6484069824219], [193.08538055419922, 514.370922088623, 427.004150390625, 719.3389663696289], [242.46723175048828, 105.28371620178223, 362.65514373779297, 532.5056076049805]]"
103,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.3107585608959198, 0.3470214903354645, 0.7989555597305298, 0.8575568795204163, 0.8626247644424438, 0.8769453763961792, 0.9224971532821655, 0.9382124543190002]","[[330.0300979614258, 0.16932892799377441, 374.7806625366211, 61.594788551330566], [752.9587554931641, 1.7686958312988281, 847.0615539550781, 347.03043365478516], [562.4457550048828, 92.1426944732666, 648.3977508544922, 503.22052001953125], [358.3037109375, 413.64788818359375, 669.6814270019531, 718.4552536010742], [220.75209045410156, 563.2044639587402, 426.17893981933594, 719.8364410400391], [447.443115234375, 81.02552604675293, 596.8041687011719, 532.4840469360352], [215.8004608154297, 114.73408699035645, 354.3039093017578, 597.9304962158203], [78.72552680969238, 118.56833267211914, 233.70275115966797, 633.8508453369141]]"
104,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.28399205207824707, 0.3000229001045227, 0.3025117814540863, 0.34061819314956665, 0.3445189297199249, 0.4286331236362457, 0.6373963356018066, 0.7848745584487915, 0.867135763168335, 0.8945897817611694, 0.9034366607666016, 0.9317795038223267]","[[469.7952575683594, 0.2755744457244873, 512.57666015625, 55.167906761169434], [557.5081329345703, 1.6351990699768066, 610.2757415771484, 101.99374008178711], [517.5014190673828, 558.0138359069824, 702.6468658447266, 719.7725143432617], [316.14125061035156, 0.20296812057495117, 389.2397003173828, 53.218472957611084], [591.2341918945312, 99.22321128845215, 647.4764099121094, 425.7171936035156], [0.4141817092895508, 487.2388458251953, 64.55771255493164, 719.1815185546875], [201.06944274902344, 590.5163726806641, 369.0282440185547, 719.8325958251953], [365.22827911376953, 426.08005142211914, 699.5230407714844, 719.3884735107422], [60.571128845214844, 129.28259468078613, 217.29476165771484, 665.2973556518555], [460.10252380371094, 67.67912864685059, 621.2818450927734, 505.54563903808594], [190.594482421875, 121.53592872619629, 337.48736572265625, 617.8671112060547], [363.2662124633789, 139.5907917022705, 554.6835021972656, 568.3285903930664]]"
105,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.25765809416770935, 0.4949987232685089, 0.5265076756477356, 0.6939139366149902, 0.850421667098999, 0.9023776650428772, 0.9237836599349976, 0.9249769449234009, 0.925414502620697]","[[191.57108688354492, 27.996936321258545, 274.8765563964844, 124.30668067932129], [739.4113311767578, 1.7841453552246094, 846.1111450195312, 351.4170341491699], [1.318593978881836, 327.6149139404297, 129.15870666503906, 728.0243453979492], [194.73516082763672, 614.2519226074219, 366.1219711303711, 719.6651916503906], [486.87327575683594, 63.54993438720703, 639.3484954833984, 514.3956756591797], [179.05130767822266, 128.76033210754395, 323.29405975341797, 622.5611572265625], [394.4615936279297, 470.27286529541016, 696.7501373291016, 719.2464065551758], [370.72279357910156, 137.17996215820312, 575.8601531982422, 627.0047149658203], [27.91706085205078, 119.45425987243652, 194.29680633544922, 636.1552963256836]]"
106,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.43050819635391235, 0.6438876390457153, 0.7121465802192688, 0.83058762550354, 0.8805619478225708, 0.8887223601341248, 0.9137981534004211, 0.9341034889221191]","[[733.6248321533203, 5.229663848876953, 844.0691528320312, 355.88730239868164], [197.26746368408203, 661.428108215332, 331.6172103881836, 720.0383834838867], [506.892333984375, 70.14006614685059, 632.49169921875, 504.5277557373047], [365.277099609375, 129.0754680633545, 589.9598693847656, 592.2842102050781], [3.8576202392578125, 131.8231143951416, 175.68802642822266, 464.4140625], [182.0955047607422, 152.60989952087402, 326.2679443359375, 662.6687393188477], [390.04376220703125, 487.24780654907227, 718.9516296386719, 719.5993423461914], [0.25543212890625, 315.6291046142578, 239.26746368408203, 719.3680114746094]]"
107,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.4313458502292633, 0.6416409611701965, 0.7141631841659546, 0.8305204510688782, 0.8803701400756836, 0.8890142440795898, 0.9140939116477966, 0.9344585537910461]","[[733.6207580566406, 5.193202972412109, 844.0751037597656, 355.8798179626465], [197.27728271484375, 661.4249496459961, 331.6150360107422, 720.0371475219727], [506.91156005859375, 70.13846969604492, 632.5215454101562, 504.50928497314453], [365.2929382324219, 129.0618381500244, 589.9451293945312, 592.2675933837891], [3.8457584381103516, 131.81683158874512, 175.68800354003906, 464.82433319091797], [182.09809112548828, 152.59850120544434, 326.27185821533203, 662.6750564575195], [390.0242614746094, 487.24636459350586, 718.9432067871094, 719.6014709472656], [0.2615776062011719, 315.61427307128906, 239.29522705078125, 719.3780364990234]]"
108,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.28981032967567444, 0.3122638165950775, 0.7276855707168579, 0.7383773922920227, 0.8149173855781555, 0.9089352488517761, 0.91946941614151, 0.9500433802604675]","[[0.20090675354003906, 526.8635101318359, 22.013371467590332, 633.0161590576172], [686.6162567138672, 22.48494529724121, 825.052001953125, 477.6896667480469], [-0.28165626525878906, 145.96559143066406, 158.246337890625, 493.88646697998047], [188.4100799560547, 145.64125442504883, 329.64857482910156, 472.0546073913574], [509.0797119140625, 48.39613151550293, 630.2266845703125, 525.7187347412109], [413.1065368652344, 539.4372596740723, 693.9407958984375, 719.2928237915039], [380.36180877685547, 129.63436317443848, 592.3546142578125, 582.5752487182617], [0.656341552734375, 311.5895690917969, 409.2909851074219, 719.5720825195312]]"
109,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.26586586236953735, 0.2879093289375305, 0.3023320138454437, 0.3649618327617645, 0.6994305849075317, 0.8071563243865967, 0.8165977001190186, 0.8872792720794678, 0.9377105832099915, 0.9408669471740723]","[[687.5989379882812, 5.485353469848633, 841.85888671875, 471.36785888671875], [355.39881134033203, 0.4354534149169922, 424.63023376464844, 65.24037408828735], [564.3226318359375, 0.510364294052124, 610.7205505371094, 51.5791711807251], [695.2365417480469, 2.1838760375976562, 804.9962768554688, 130.58878326416016], [420.69456481933594, 559.4582290649414, 632.9823760986328, 719.6689682006836], [188.63987731933594, 144.90765953063965, 332.3063049316406, 481.47383880615234], [34.10261535644531, 353.42708587646484, 406.7750701904297, 719.3090286254883], [524.0497741699219, 47.15982627868652, 646.8285827636719, 510.6741943359375], [-0.03417205810546875, 141.29823875427246, 155.86177825927734, 601.6609725952148], [388.8914794921875, 122.50363540649414, 589.3141479492188, 581.2377319335938]]"
110,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.25197431445121765, 0.36151522397994995, 0.3864438533782959, 0.4334763288497925, 0.451434850692749, 0.6893318891525269, 0.7880815863609314, 0.8011905550956726, 0.8602327704429626, 0.9151935577392578, 0.9413062930107117]","[[558.3746337890625, 0.6415200233459473, 612.517822265625, 113.53506660461426], [444.4771728515625, 621.0827407836914, 587.1493835449219, 719.7859725952148], [761.5208129882812, 74.72816276550293, 850.6387939453125, 458.5096664428711], [339.2794189453125, 0.2440509796142578, 503.0959167480469, 191.28321647644043], [187.16330337524414, 28.77229642868042, 271.3158874511719, 125.40673828125], [0.3932018280029297, 556.3199157714844, 36.31412315368652, 719.0621795654297], [60.410728454589844, 365.3778076171875, 434.23663330078125, 719.3772811889648], [180.70394897460938, 171.71110725402832, 344.01947021484375, 501.3167953491211], [557.4193725585938, 53.24566841125488, 649.3448181152344, 501.3497543334961], [-0.010408401489257812, 150.51568222045898, 149.9494400024414, 707.1807403564453], [403.6890106201172, 108.22109985351562, 598.8952789306641, 580.7484283447266]]"
111,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3010536730289459, 0.4879535436630249, 0.5156455636024475, 0.5712206959724426, 0.5816388726234436, 0.6589828729629517, 0.8651124835014343, 0.8806511759757996, 0.9085963368415833, 0.9357917904853821]","[[546.6177062988281, -0.2516641616821289, 622.5119018554688, 213.02830123901367], [186.6917495727539, 28.876035690307617, 273.49642181396484, 125.7425422668457], [0.3457202911376953, 586.9929885864258, 33.82061576843262, 718.4227066040039], [763.7872924804688, 192.1479263305664, 847.5933837890625, 453.31993103027344], [573.5647888183594, 67.9973201751709, 658.4094543457031, 498.0971145629883], [174.1442642211914, 170.1474266052246, 336.09867095947266, 524.9546699523926], [60.29912567138672, 381.67472076416016, 395.51422119140625, 718.6912536621094], [879.556640625, 333.23091888427734, 959.4656982421875, 719.2440719604492], [0.15445518493652344, 173.54815864562988, 136.26248931884766, 715.0039672851562], [426.6826171875, 111.20040321350098, 616.0326232910156, 579.6084594726562]]"
