frame,class,score,boxes
20,"[0, 0, 0, 0, 0]","[0.2586531341075897, 0.44237568974494934, 0.7483490705490112, 0.7929283380508423, 0.8770674467086792]","[[142.49288177490234, 15.483238220214844, 286.48990631103516, 421.1309509277344], [405.5672149658203, 52.220746994018555, 576.2278289794922, 303.1202087402344], [531.9464721679688, 1.0636482238769531, 641.3608703613281, 293.05130767822266], [817.2366027832031, 398.5001106262207, 958.9867858886719, 718.5616149902344], [413.7216796875, 144.2475185394287, 608.5602722167969, 710.400764465332]]"
21,"[0, 0, 0, 0, 0, 0]","[0.26777374744415283, 0.27109917998313904, 0.7026697397232056, 0.7719582319259644, 0.8709391951560974, 0.9115844368934631]","[[194.5689239501953, 192.45053100585938, 282.00279235839844, 419.0891418457031], [694.0997314453125, 0.32553863525390625, 755.1383056640625, 126.16839981079102], [859.9666442871094, 492.4043426513672, 959.3616027832031, 719.5491485595703], [394.0213623046875, 65.30516338348389, 567.9255981445312, 352.84302520751953], [557.1190338134766, 1.1150264739990234, 641.9635162353516, 293.70726013183594], [391.85179138183594, 166.01600074768066, 595.2201690673828, 720.3636474609375]]"
22,"[0, 0, 0, 0, 0, 0]","[0.3107137978076935, 0.3733838200569153, 0.7992493510246277, 0.8163038492202759, 0.8812882900238037, 0.8949876427650452]","[[161.02637100219727, 2.172700881958008, 283.8695983886719, 420.2762145996094], [693.8848114013672, 0.039061546325683594, 754.1884918212891, 129.64026832580566], [377.039794921875, 45.72846221923828, 549.9606628417969, 390.8294906616211], [747.8813323974609, 51.72124671936035, 846.8315734863281, 370.34493255615234], [557.0228118896484, 0.48568153381347656, 642.7375946044922, 297.1790084838867], [364.1476135253906, 179.5751552581787, 584.6587829589844, 717.2126998901367]]"
23,"[0, 0, 0, 0, 0, 0]","[0.3093074560165405, 0.37316250801086426, 0.7979148030281067, 0.8163014650344849, 0.8811352849006653, 0.8950667977333069]","[[161.59477615356445, 2.132944107055664, 283.90333557128906, 420.1852340698242], [693.8834381103516, 0.04000997543334961, 754.1914215087891, 129.63304138183594], [377.0463638305664, 45.48847961425781, 549.9530181884766, 390.8608703613281], [747.9076538085938, 51.681678771972656, 846.826904296875, 370.33792877197266], [557.0904235839844, 0.4712791442871094, 642.7402038574219, 297.28104400634766], [364.2543182373047, 179.59798622131348, 584.6457366943359, 717.2107086181641]]"
24,"[0, 0, 0, 0, 0]","[0.43973323702812195, 0.5339034199714661, 0.8445844054222107, 0.8760622143745422, 0.8998228311538696]","[[730.7228393554688, 18.725509643554688, 847.606201171875, 389.9521293640137], [142.5289306640625, 14.341913223266602, 286.52723693847656, 420.6803741455078], [368.00592041015625, 65.76334476470947, 548.3131713867188, 349.86971282958984], [555.9794311523438, 1.324178695678711, 641.6926574707031, 297.1885528564453], [347.2570266723633, 163.8753490447998, 566.7895202636719, 720.1715240478516]]"
25,"[0, 0, 0, 0, 0]","[0.3747657239437103, 0.812697172164917, 0.8244159817695618, 0.8450121283531189, 0.9348231554031372]","[[190.58766174316406, 198.7170639038086, 280.1978759765625, 418.6643829345703], [693.7397918701172, 7.218772888183594, 833.6600646972656, 390.5951385498047], [366.7133331298828, 86.32327079772949, 550.8300933837891, 341.03773498535156], [554.7475891113281, 1.2514629364013672, 640.6630554199219, 297.68788146972656], [290.76841735839844, 187.00290870666504, 547.4243316650391, 719.1443710327148]]"
26,"[0, 0, 0, 0, 0]","[0.359571248292923, 0.7811765670776367, 0.7911417484283447, 0.7929700016975403, 0.9134644865989685]","[[153.85243606567383, 11.543437957763672, 285.9956359863281, 415.1762580871582], [689.9042358398438, 5.636707305908203, 806.5655822753906, 414.17454528808594], [370.4750061035156, 81.11890983581543, 562.8214416503906, 444.8342971801758], [551.7530822753906, 2.9694156646728516, 639.1246948242188, 296.45343017578125], [282.04527282714844, 209.52345657348633, 547.2846221923828, 719.2010192871094]]"
27,"[0, 0, 0, 0, 0]","[0.2783550024032593, 0.29432666301727295, 0.5813231468200684, 0.8372164964675903, 0.8550330996513367]","[[180.684814453125, 22.348697662353516, 251.9962921142578, 124.39772987365723], [692.2345275878906, 8.950574398040771, 770.1003112792969, 130.3260555267334], [148.6219253540039, 19.915740966796875, 291.70694732666016, 419.0580711364746], [549.5116882324219, 4.10313606262207, 638.63671875, 296.89363861083984], [247.19503784179688, 205.4363193511963, 520.9920959472656, 718.7210540771484]]"
28,"[0, 0, 0, 0, 0]","[0.2884734570980072, 0.7250980138778687, 0.8251320123672485, 0.892598569393158, 0.9164310693740845]","[[240.67520141601562, 197.68740463256836, 286.6094055175781, 366.5497741699219], [613.0317993164062, 0.6242465972900391, 756.8709411621094, 442.1092758178711], [552.3564147949219, 5.025609970092773, 636.9295349121094, 294.47142791748047], [367.6031799316406, 106.18025207519531, 566.7629699707031, 681.8770294189453], [215.35308837890625, 239.04765129089355, 492.86846923828125, 719.6544799804688]]"
29,"[0, 0, 0, 0, 0]","[0.2811298668384552, 0.7254933714866638, 0.8269567489624023, 0.892372190952301, 0.9163230061531067]","[[240.68362426757812, 197.67087364196777, 286.60693359375, 366.46826934814453], [612.9906005859375, 0.6394557952880859, 756.8744201660156, 442.0685577392578], [552.2914123535156, 5.025180816650391, 636.9212951660156, 294.53995513916016], [367.6427307128906, 106.1806468963623, 566.7691040039062, 681.8384399414062], [215.46512603759766, 238.97539901733398, 492.8631591796875, 719.6596984863281]]"
